id,code_station,code_polluant,insee_com,valeur,date_mesure
2026-06-09 14:00:00FR23075_NO2_A,FR23075,3,44210,2.5,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23078_NO2_A,FR23078,3,49099,1.6,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23078_O3_A,FR23078,8,49099,73.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23078_PM10_2,FR23078,24,49099,9.5,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23110_NO2_A,FR23110,3,44184,1.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23110_O3_A,FR23110,8,44184,68.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23110_PM10_3,FR23110,24,44184,9.3,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23110_PM2.5_3,FR23110,39,44184,4.2,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23120_NO2_A,FR23120,3,49007,3.7,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23120_PM10_4,FR23120,24,49007,16.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23120_PM2.5_2,FR23120,39,49007,3.9,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23123_NO2_A,FR23123,3,53130,0.35,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23123_O3_A,FR23123,8,53130,64.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23123_PM10_3,FR23123,24,53130,5.2,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23123_PM2.5_3,FR23123,39,53130,2.5,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23124_NO2_A,FR23124,3,85289,1.5,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23124_O3_A,FR23124,8,85289,58.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23124_PM10_4,FR23124,24,85289,6.8,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23124_PM2.5_2,FR23124,39,85289,2.4,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23149_SO2_A,FR23149,1,44116,0.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23150_NO2_A,FR23150,3,49007,3.1,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23150_O3_A,FR23150,8,49007,71.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23152_NO2_A,FR23152,3,85191,1.3,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23152_O3_A,FR23152,8,85191,72.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23152_PM10_4,FR23152,24,85191,7.9,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23152_PM2.5_2,FR23152,39,85191,3.2,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23163_O3_A,FR23163,8,72344,70.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23174_NO2_A,FR23174,3,72181,2.2,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23174_PM10_2,FR23174,24,72181,6.3,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23174_PM2.5_1,FR23174,39,72181,2.6,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23175_O3_A,FR23175,8,49035,70.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23177_NO2_1,FR23177,3,53210,1.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23177_O3_A,FR23177,8,53210,69.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23177_PM10_4,FR23177,24,53210,4.9,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23177_PM2.5_2,FR23177,39,53210,1.7,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23178_NO2_1,FR23178,3,44052,2.7,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23178_PM10_3,FR23178,24,44052,9.7,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23178_PM2.5_2,FR23178,39,44052,4.1,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23178_SO2_A,FR23178,1,44052,0.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23181_NO2_1,FR23181,3,44184,1.1,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23181_SO2_1,FR23181,1,44184,0.78,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23182_NO2_A,FR23182,3,72181,1.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23182_O3_A,FR23182,8,72181,69.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23182_PM10_3,FR23182,24,72181,6.9,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23182_PM2.5_2,FR23182,39,72181,2.6,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23188_NO2_A,FR23188,3,44109,1.8,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23188_O3_A,FR23188,8,44109,70.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23188_PM10_4,FR23188,24,44109,9.5,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23188_PM2.5_2,FR23188,39,44109,3.8,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23230_O3_A,FR23230,8,44132,64.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23238_PM10_A,FR23238,24,44143,11.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23238_PM2.5_1,FR23238,39,44143,2.8,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23239_NO2_A,FR23239,3,44020,1.5,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23239_PM10_1,FR23239,24,44020,9.5,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23239_PM2.5_6,FR23239,39,44020,3.7,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23242_NO2_1,FR23242,3,49007,21.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23242_PM10_1,FR23242,24,49007,13.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23242_PM2.5_1,FR23242,39,49007,2.3,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23249_NO2_A,FR23249,3,44103,2.7,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23249_PM10_1,FR23249,24,44103,6.7,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23249_PM2.5_1,FR23249,39,44103,3.4,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23249_SO2_A,FR23249,1,44103,0.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23251_NO2_1,FR23251,3,44109,16.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23251_PM2.5_1,FR23251,39,44109,13.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23252_NO2_1,FR23252,3,53130,13.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23252_PM2.5_1,FR23252,39,53130,3.4,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23259_PM10_1,FR23259,24,44109,11.0,2026-06-09 14:00:00+00:00
2026-06-09 14:00:00FR23259_PM2.5_1,FR23259,39,44109,4.0,2026-06-09 14:00:00+00:00
2026-06-09 13:00:00FR23001_SO2_A,FR23001,1,44052,0.33,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23003_NO2_A,FR23003,3,44052,3.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23003_PM10_1,FR23003,24,44052,8.3,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23003_PM2.5_1,FR23003,39,44052,3.7,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23003_SO2_A,FR23003,1,44052,0.15,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23068_NO2_A,FR23068,3,44061,0.57,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23068_PM10_4,FR23068,24,44061,8.1,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23068_PM2.5_1,FR23068,39,44061,4.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23068_SO2_A,FR23068,1,44061,0.25,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23069_SO2_A,FR23069,1,44195,0.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23070_NO2_A,FR23070,3,44158,0.48,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23070_PM10_3,FR23070,24,44158,7.4,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23070_PM2.5_1,FR23070,39,44158,3.5,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23070_SO2_A,FR23070,1,44158,0.68,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23075_NO2_A,FR23075,3,44210,1.7,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23078_NO2_A,FR23078,3,49099,1.7,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23078_O3_A,FR23078,8,49099,73.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23078_PM10_2,FR23078,24,49099,7.6,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23078_PM2.5_2,FR23078,39,49099,4.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23110_NO2_A,FR23110,3,44184,1.1,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23110_O3_A,FR23110,8,44184,66.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23110_PM10_3,FR23110,24,44184,10.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23110_PM2.5_3,FR23110,39,44184,4.1,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23120_NO2_A,FR23120,3,49007,4.9,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23120_PM10_4,FR23120,24,49007,22.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23120_PM2.5_2,FR23120,39,49007,4.5,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23123_NO2_A,FR23123,3,53130,0.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23123_O3_A,FR23123,8,53130,63.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23123_PM10_3,FR23123,24,53130,6.8,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23123_PM2.5_3,FR23123,39,53130,3.2,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23124_NO2_A,FR23124,3,85289,1.4,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23124_O3_A,FR23124,8,85289,58.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23124_PM10_4,FR23124,24,85289,6.4,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23124_PM2.5_2,FR23124,39,85289,2.5,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23149_SO2_A,FR23149,1,44116,0.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23150_NO2_A,FR23150,3,49007,4.4,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23150_O3_A,FR23150,8,49007,69.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23152_NO2_A,FR23152,3,85191,1.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23152_O3_A,FR23152,8,85191,72.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23152_PM10_4,FR23152,24,85191,7.9,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23152_PM2.5_2,FR23152,39,85191,3.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23163_O3_A,FR23163,8,72344,69.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23174_NO2_A,FR23174,3,72181,2.9,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23174_PM10_2,FR23174,24,72181,6.6,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23174_PM2.5_1,FR23174,39,72181,2.7,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23175_O3_A,FR23175,8,49035,71.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23177_NO2_1,FR23177,3,53210,1.2,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23177_O3_A,FR23177,8,53210,66.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23177_PM10_4,FR23177,24,53210,6.3,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23177_PM2.5_2,FR23177,39,53210,2.5,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23178_NO2_1,FR23178,3,44052,2.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23178_PM10_3,FR23178,24,44052,7.7,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23178_PM2.5_2,FR23178,39,44052,3.9,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23178_SO2_A,FR23178,1,44052,0.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23181_NO2_1,FR23181,3,44184,0.78,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23181_SO2_1,FR23181,1,44184,0.63,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23182_NO2_A,FR23182,3,72181,0.93,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23182_O3_A,FR23182,8,72181,68.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23182_PM10_3,FR23182,24,72181,6.3,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23182_PM2.5_2,FR23182,39,72181,2.6,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23188_NO2_A,FR23188,3,44109,2.1,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23188_O3_A,FR23188,8,44109,71.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23188_PM10_4,FR23188,24,44109,9.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23188_PM2.5_2,FR23188,39,44109,3.7,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23230_O3_A,FR23230,8,44132,62.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23238_PM10_A,FR23238,24,44143,15.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23238_PM2.5_1,FR23238,39,44143,3.2,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23239_NO2_A,FR23239,3,44020,2.2,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23239_PM10_1,FR23239,24,44020,8.3,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23239_PM2.5_6,FR23239,39,44020,3.6,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23242_NO2_1,FR23242,3,49007,23.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23242_PM10_1,FR23242,24,49007,17.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23242_PM2.5_1,FR23242,39,49007,0.6,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23249_NO2_A,FR23249,3,44103,0.9,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23249_PM10_1,FR23249,24,44103,7.3,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23249_PM2.5_1,FR23249,39,44103,3.3,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23249_SO2_A,FR23249,1,44103,0.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23251_NO2_1,FR23251,3,44109,28.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23251_PM2.5_1,FR23251,39,44109,11.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23252_NO2_1,FR23252,3,53130,15.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23252_PM2.5_1,FR23252,39,53130,5.4,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23259_PM10_1,FR23259,24,44109,13.0,2026-06-09 13:00:00+00:00
2026-06-09 13:00:00FR23259_PM2.5_1,FR23259,39,44109,4.1,2026-06-09 13:00:00+00:00
2026-06-09 12:00:00FR23001_SO2_A,FR23001,1,44052,0.25,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23003_NO2_A,FR23003,3,44052,2.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23003_PM10_1,FR23003,24,44052,8.7,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23003_PM2.5_1,FR23003,39,44052,4.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23003_SO2_A,FR23003,1,44052,0.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23068_NO2_A,FR23068,3,44061,0.63,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23068_PM10_4,FR23068,24,44061,7.9,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23068_PM2.5_1,FR23068,39,44061,3.8,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23068_SO2_A,FR23068,1,44061,0.3,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23069_SO2_A,FR23069,1,44195,0.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23070_NO2_A,FR23070,3,44158,0.83,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23070_PM10_3,FR23070,24,44158,6.9,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23070_PM2.5_1,FR23070,39,44158,3.2,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23070_SO2_A,FR23070,1,44158,0.78,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23075_NO2_A,FR23075,3,44210,2.1,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23078_NO2_A,FR23078,3,49099,1.7,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23078_O3_A,FR23078,8,49099,71.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23078_PM10_2,FR23078,24,49099,4.7,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23078_PM2.5_2,FR23078,39,49099,5.9,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23110_NO2_A,FR23110,3,44184,2.1,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23110_O3_A,FR23110,8,44184,70.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23110_PM10_3,FR23110,24,44184,11.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23110_PM2.5_3,FR23110,39,44184,4.5,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23120_NO2_A,FR23120,3,49007,4.5,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23120_PM10_4,FR23120,24,49007,11.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23120_PM2.5_2,FR23120,39,49007,3.3,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23123_NO2_A,FR23123,3,53130,0.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23123_O3_A,FR23123,8,53130,63.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23123_PM10_3,FR23123,24,53130,5.8,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23123_PM2.5_3,FR23123,39,53130,3.1,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23124_NO2_A,FR23124,3,85289,1.1,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23124_O3_A,FR23124,8,85289,58.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23124_PM10_4,FR23124,24,85289,7.9,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23124_PM2.5_2,FR23124,39,85289,2.6,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23149_SO2_A,FR23149,1,44116,0.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23150_NO2_A,FR23150,3,49007,2.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23150_O3_A,FR23150,8,49007,70.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23152_NO2_A,FR23152,3,85191,1.1,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23152_O3_A,FR23152,8,85191,72.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23152_PM10_4,FR23152,24,85191,5.4,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23152_PM2.5_2,FR23152,39,85191,2.3,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23157_O3_A,FR23157,8,44018,67.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23163_O3_A,FR23163,8,72344,68.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23174_NO2_A,FR23174,3,72181,2.4,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23174_PM10_2,FR23174,24,72181,6.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23174_PM2.5_1,FR23174,39,72181,2.7,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23175_O3_A,FR23175,8,49035,71.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23177_NO2_1,FR23177,3,53210,1.1,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23177_O3_A,FR23177,8,53210,67.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23177_PM10_4,FR23177,24,53210,6.5,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23177_PM2.5_2,FR23177,39,53210,2.6,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23178_NO2_1,FR23178,3,44052,2.4,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23178_PM10_3,FR23178,24,44052,9.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23178_PM2.5_2,FR23178,39,44052,4.2,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23178_SO2_A,FR23178,1,44052,0.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23181_NO2_1,FR23181,3,44184,0.93,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23181_SO2_1,FR23181,1,44184,0.57,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23182_NO2_A,FR23182,3,72181,1.4,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23182_O3_A,FR23182,8,72181,66.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23182_PM10_3,FR23182,24,72181,7.2,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23182_PM2.5_2,FR23182,39,72181,2.9,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23188_NO2_A,FR23188,3,44109,1.5,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23188_O3_A,FR23188,8,44109,71.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23188_PM10_4,FR23188,24,44109,7.7,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23188_PM2.5_2,FR23188,39,44109,3.2,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23230_O3_A,FR23230,8,44132,65.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23238_PM10_A,FR23238,24,44143,11.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23238_PM2.5_1,FR23238,39,44143,5.9,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23239_NO2_A,FR23239,3,44020,2.4,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23239_PM10_1,FR23239,24,44020,11.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23239_PM2.5_6,FR23239,39,44020,4.1,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23242_NO2_1,FR23242,3,49007,12.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23242_PM10_1,FR23242,24,49007,12.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23242_PM2.5_1,FR23242,39,49007,3.7,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23249_NO2_A,FR23249,3,44103,1.6,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23249_PM10_1,FR23249,24,44103,8.3,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23249_PM2.5_1,FR23249,39,44103,4.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23249_SO2_A,FR23249,1,44103,0.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23251_NO2_1,FR23251,3,44109,21.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23251_PM2.5_1,FR23251,39,44109,6.9,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23252_NO2_1,FR23252,3,53130,11.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23252_PM2.5_1,FR23252,39,53130,5.7,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23259_PM10_1,FR23259,24,44109,12.0,2026-06-09 12:00:00+00:00
2026-06-09 12:00:00FR23259_PM2.5_1,FR23259,39,44109,4.0,2026-06-09 12:00:00+00:00
2026-06-09 11:00:00FR23001_SO2_A,FR23001,1,44052,0.2,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23003_NO2_A,FR23003,3,44052,2.4,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23003_PM10_1,FR23003,24,44052,8.3,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23003_PM2.5_1,FR23003,39,44052,3.7,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23003_SO2_A,FR23003,1,44052,0.0,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23068_NO2_A,FR23068,3,44061,0.88,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23068_PM10_4,FR23068,24,44061,7.9,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23068_PM2.5_1,FR23068,39,44061,3.9,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23068_SO2_A,FR23068,1,44061,0.18,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23069_SO2_A,FR23069,1,44195,0.0,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23070_NO2_A,FR23070,3,44158,0.85,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23070_PM10_3,FR23070,24,44158,7.3,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23070_PM2.5_1,FR23070,39,44158,3.4,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23070_SO2_A,FR23070,1,44158,1.0,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23075_NO2_A,FR23075,3,44210,2.3,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23078_NO2_A,FR23078,3,49099,2.4,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23078_O3_A,FR23078,8,49099,70.0,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23078_PM10_2,FR23078,24,49099,5.2,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23078_PM2.5_2,FR23078,39,49099,4.4,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23110_NO2_A,FR23110,3,44184,2.1,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23110_O3_A,FR23110,8,44184,71.0,2026-06-09 11:00:00+00:00
2026-06-09 11:00:00FR23110_PM10_3,FR23110,24,44184,12.0,2026-06-09 11:00:00+00:00
